Tipo de Monitoramento:,CETESB,,,
Tipo de Rede:,Automática,,,
Tipo de Dado:,Primários,,,
Código da estação:,114,,,
Nome da estação:,Presidente Prudente,,,
,,,,
Data,Hora,Média Horária,Média Horária,Média Horária
,,MP10(Partículas Inaláveis) - µg/m3,NOx(Óxidos de Nitrogênio) - ppb,TEMP(Temperatura do Ar) - °C
18/09/2020,01:00,38,2,"23,8"
18/09/2020,02:00,40,2,"23,3"
18/09/2020,03:00,38,3,"23,4"
18/09/2020,04:00,38,2,"23,4"
18/09/2020,05:00,40,2,"23,3"
18/09/2020,06:00,44,2,"23,0"
18/09/2020,07:00,37,4,"22,7"
18/09/2020,08:00,30,15,"23,0"
18/09/2020,09:00,42,20,"24,3"
18/09/2020,10:00,45,10,"25,9"
18/09/2020,11:00,39,4,"27,6"
18/09/2020,12:00,42,3,"29,2"
18/09/2020,13:00,42,3,"30,6"
18/09/2020,14:00,53,5,"30,0"
18/09/2020,15:00,51,7,"30,1"
18/09/2020,16:00,54,6,"30,3"
18/09/2020,17:00,51,8,"29,2"
18/09/2020,18:00,60,11,"28,2"
18/09/2020,19:00,62,15,"27,3"
18/09/2020,20:00,72,9,"25,5"
18/09/2020,21:00,64,9,"24,5"
18/09/2020,22:00,63,10,"24,1"
18/09/2020,23:00,62,9,"24,0"
18/09/2020,24:00,72,7,"23,9"
19/09/2020,01:00,60,10,"24,0"
19/09/2020,02:00,47,6,"23,8"
19/09/2020,03:00,50,6,"23,1"
19/09/2020,04:00,56,7,"22,4"
19/09/2020,05:00,52,6,"22,4"
19/09/2020,06:00,53,10,"22,2"
19/09/2020,07:00,52,11,"22,0"
19/09/2020,08:00,64,28,"22,5"
19/09/2020,09:00,52,16,"25,0"
19/09/2020,10:00,52,10,"27,3"
19/09/2020,11:00,63,8,"29,6"
19/09/2020,12:00,60,7,"31,4"
19/09/2020,13:00,63,6,"32,0"
19/09/2020,14:00,64,4,"32,4"
19/09/2020,15:00,71,4,"31,6"
19/09/2020,16:00,62,3,"31,5"
19/09/2020,17:00,77,4,"30,1"
19/09/2020,18:00,76,4,"27,8"
19/09/2020,19:00,73,9,"26,6"
19/09/2020,20:00,71,15,"26,3"
19/09/2020,21:00,77,17,"25,5"
19/09/2020,22:00,76,17,"25,5"
19/09/2020,23:00,76,15,"25,4"
19/09/2020,24:00,80,10,"24,9"
20/09/2020,01:00,85,12,"24,6"
20/09/2020,02:00,86,5,"24,0"
20/09/2020,03:00,80,2,"23,6"
20/09/2020,04:00,72,1,"23,2"
20/09/2020,05:00,57,1,"23,2"
20/09/2020,06:00,52,2,"22,9"
20/09/2020,07:00,51,3,"22,4"
20/09/2020,08:00,52,3,"21,8"
20/09/2020,09:00,44,3,"22,9"
20/09/2020,10:00,42,2,"24,9"
20/09/2020,11:00,44,2,"27,5"
20/09/2020,12:00,34,2,"30,0"
20/09/2020,13:00,42,2,"30,9"
20/09/2020,14:00,41,2,"31,7"
20/09/2020,15:00,46,1,"31,8"
20/09/2020,16:00,47,1,"30,3"
20/09/2020,17:00,39,2,"29,9"
20/09/2020,18:00,44,3,"29,0"
20/09/2020,19:00,42,6,"27,9"
20/09/2020,20:00,38,11,"27,2"
20/09/2020,21:00,43,6,"26,4"
20/09/2020,22:00,46,4,"25,6"
20/09/2020,23:00,35,2,"24,4"
20/09/2020,24:00,26,2,"23,4"